,School,Professor,Department,Rating,Rating Count
270,Pennsylvania State University,Bastian Nathaniel,Engineering,4.0,1
271,Pennsylvania State University,Basu Prasenjit,Civil Engineering,4.0,5
272,Pennsylvania State University,Basu Sankha,Mathematics,4.4,15
273,Pennsylvania State University,Basu Saurabh,Industrial Engineering,2.0,3
274,Pennsylvania State University,Batakidis Panagiotis,Mathematics,2.5,7
275,Pennsylvania State University,Batchelor Jordan,English,3.0,2
276,Pennsylvania State University,Batista Juan,Mathematics,3.6,4
277,Pennsylvania State University,Battaglia Jo,Mathematics,4.7,21
278,Pennsylvania State University,Bauer Jennifer,Health Administration,5.0,1
279,Pennsylvania State University,Baughman Kathy,Accounting,3.5,2
280,Pennsylvania State University,Baukus Robert,Communication,2.1,10
281,Pennsylvania State University,Baukus-Cabrerra Maria,Communication,4.4,4
282,Pennsylvania State University,Baum Paul,Mathematics,2.4,57
283,Pennsylvania State University,Bauman Joseph,Spanish,4.6,14
284,Pennsylvania State University,Baumann Zachary,Political Science,3.6,63
285,Pennsylvania State University,Baumgartner Johan,Marketing,3.1,4
286,Pennsylvania State University,Baumgartner Brad,English,3.3,7
287,Pennsylvania State University,Baums Illiana,Biological Sciences,1.7,3
288,Pennsylvania State University,Baxter Kristen,Classical  Medieval Studies,4.2,14
289,Pennsylvania State University,Baxter Ryan,Geography,4.0,20
290,Pennsylvania State University,Baxter Andrew,Mathematics,4.2,50
291,Pennsylvania State University,Bayas Kelly,English,3.0,3
292,Pennsylvania State University,Baylor Ethelind,Behavioral Sciences,2.5,2
293,Pennsylvania State University,Baztan Juan,Architecture,5.0,1
294,Pennsylvania State University,Beale John,Journalism,4.8,14
295,Pennsylvania State University,Beane Robbie,Mathematics,4.6,8
296,Pennsylvania State University,Beasley Val,Veterinary Sciences,4.5,4
297,Pennsylvania State University,Beaury Robert,Engineering,4.5,12
298,Pennsylvania State University,Beaver Dan,History,2.3,43
299,Pennsylvania State University,Beblo Joshua,Landscape Architecture & Regional Planning,2.8,2
300,Pennsylvania State University,Bechtel Jon,Mechanical Engineering,5.0,1
301,Pennsylvania State University,Beck Christy,Psychology,5.0,2
302,Pennsylvania State University,Becker Robin,English,3.6,7
303,Pennsylvania State University,Becker Christian,Philosophy,3.3,10
304,Pennsylvania State University,Becker Erin,Biological Sciences,5.0,1
305,Pennsylvania State University,Beckerman Stephen,Anthropology,3.4,35
306,Pennsylvania State University,Beckett Tracy,English,4.4,5
307,Pennsylvania State University,Beckman Matthew,Statistics,4.7,3
308,Pennsylvania State University,Bede Dayse,Photography,5.0,2
309,Pennsylvania State University,Bedejus Alison,French,4.8,2
310,Pennsylvania State University,Bedell Lori,Communication,3.9,53
311,Pennsylvania State University,Bee Beth Anne,Geography,2.0,1
312,Pennsylvania State University,Beebee Thomas,Comparative Literature,3.2,21
313,Pennsylvania State University,Beegle Douglas,Agriculture,5.0,1
314,Pennsylvania State University,Beese Allison,Materials Engineering,4.3,10
315,Pennsylvania State University,Beevers David,Mechanical Engineering,2.0,11
316,Pennsylvania State University,Behoora Ishan,Computer Science,3.9,14
317,Pennsylvania State University,Behun William,Philosophy,4.7,14
318,Pennsylvania State University,Beierlein James,Agriculture,3.5,21
319,Pennsylvania State University,Beishline Nicholas,English,3.3,10
320,Pennsylvania State University,Belanger Jonna,Kinesiology,3.4,5
321,Pennsylvania State University,Belden Mark,Kinesiology,5.0,6
322,Pennsylvania State University,Belegundu Ashok D,Mechanical Engineering,3.0,15
323,Pennsylvania State University,Belk John,English,3.9,4
324,Pennsylvania State University,Bell Bernard,English,2.3,18
325,Pennsylvania State University,Bell Kevin,English,3.6,12
326,Pennsylvania State University,Bell Emily,Biochemistry,5.0,2
327,Pennsylvania State University,Belland Brian,Education,1.5,2
328,Pennsylvania State University,Bellinger Evelyn,Nursing,5.0,2
329,Pennsylvania State University,Belmonte Andrew,Mathematics,4.0,9
330,Pennsylvania State University,Beltz Roger,Biology,4.8,17
331,Pennsylvania State University,Beltzer Emilie,Behavioral Sciences,2.7,6
332,Pennsylvania State University,Belue Rhonda,Health Administration,4.5,4
333,Pennsylvania State University,Ben-Jebria Aziz,Chemical Engineering,2.9,7
334,Pennsylvania State University,Benally Timothy,Kinesiology,5.0,1
335,Pennsylvania State University,Bender Rebecca,Languages,5.0,2
336,Pennsylvania State University,Bendich Paul,Mathematics,3.6,9
337,Pennsylvania State University,Benesi Alan,Chemistry,2.3,25
338,Pennsylvania State University,Benesi Alan James,Chemistry,1.0,1
339,Pennsylvania State University,Benitez Vincent,Music,3.9,14
340,Pennsylvania State University,Benjamin Alan,Sociology,4.5,25
341,Pennsylvania State University,Benkiran Amine,Mathematics,4.7,111
342,Pennsylvania State University,Bensel Alyse,English,2.0,3
343,Pennsylvania State University,Benson Thomas,Communication,4.1,6
344,Pennsylvania State University,Berezniak John,Engineering,4.2,14
345,Pennsylvania State University,Berg Adam,Kinesiology,2.5,1
346,Pennsylvania State University,Berger Zachary,Engineering,4.0,1
347,Pennsylvania State University,Berghage Robert,Agriculture,4.2,8
348,Pennsylvania State University,Bergmaier Mike,Communication Arts,3.5,1
349,Pennsylvania State University,Bergsma Theodore,Philosophy,5.0,6
350,Pennsylvania State University,Bergstein Andrew,Marketing,3.2,73
351,Pennsylvania State University,Bergstrom Mark,Sociology,3.8,4
352,Pennsylvania State University,Berkman Michael,Political Science,2.6,17
353,Pennsylvania State University,Berlyand Leonid,Mathematics,2.2,5
354,Pennsylvania State University,Berman Piotr,Computer Science,1.6,37
355,Pennsylvania State University,Berman Justus,English,4.7,9
356,Pennsylvania State University,Bernal Miguel,Spanish,4.4,7
357,Pennsylvania State University,Bernhard Michael,Political Science,3.0,58
358,Pennsylvania State University,Berube Michael,English,3.9,30
359,Pennsylvania State University,Betlyon John,Religious Studies,3.8,38
360,Pennsylvania State University,Bettig Ronald,Communication,3.2,13
361,Pennsylvania State University,Bevilacqua Philip,Chemistry,4.5,50
362,Pennsylvania State University,Bey Sharif,Graphic Arts,5.0,2
363,Pennsylvania State University,Beyerle Susan ,Engineering,4.1,7
364,Pennsylvania State University,Bhagia Meher,Art,3.0,2
365,Pennsylvania State University,Bharti Smita,Engineering,3.9,5
366,Pennsylvania State University,Bharti Nita,Biological Sciences,5.0,2
367,Pennsylvania State University,Bhat Kabekode,Computer Science,2.0,47
368,Pennsylvania State University,Bhattacharya Sekhar,Mineral Engineering,4.0,1
369,Pennsylvania State University,Bianchi Eugenio,Physics,4.3,15
370,Pennsylvania State University,Bice David,Geology,3.8,25
371,Pennsylvania State University,Bidgoli Morvareed,Information Sciences & Technology,2.0,6
372,Pennsylvania State University,Bierens Herman,Economics,3.2,2
373,Pennsylvania State University,Bilen Sven,Electrical Engineering,4.1,10
374,Pennsylvania State University,Bilger Paul,Philosophy,4.1,30
375,Pennsylvania State University,Bill Robert,Engineering,4.8,3
376,Pennsylvania State University,Billy Gregory,Health Administration,2.7,7
377,Pennsylvania State University,Bingaman Rod,Communication,4.3,18
378,Pennsylvania State University,Binney James,Political Science,3.6,88
379,Pennsylvania State University,Bird Barbara,Communication,3.4,9
380,Pennsylvania State University,Bird Douglas,Anthropology,2.8,5
381,Pennsylvania State University,Birdwell Robert,English,3.3,7
382,Pennsylvania State University,Birmingham Julia,Communication Disorders,4.8,2
383,Pennsylvania State University,Birnbaum Benjamin,Accounting,4.2,2
384,Pennsylvania State University,Birschbach Mark,Communication,3.5,11
385,Pennsylvania State University,Bischof Angela,Chemistry,4.6,10
386,Pennsylvania State University,Bishop Kyle,Chemical Engineering,4.2,4
387,Pennsylvania State University,Bissell Joanna,Human Development,3.7,10
388,Pennsylvania State University,Bjornstad Ottar,Biological Sciences,3.6,4
389,Pennsylvania State University,Black Brian,Hotel & Restaurant Management,4.7,3
390,Pennsylvania State University,Black-Nembhard Harriet,Industrial Engineering,2.4,5
391,Pennsylvania State University,Blackburn Angeliq,Chemistry,4.0,2
392,Pennsylvania State University,Blackshear Earnest,Psychology,2.1,61
393,Pennsylvania State University,Blair William,History,4.3,14
394,Pennsylvania State University,Blair Dorothy,Nutrition,2.7,18
395,Pennsylvania State University,Blair Karen,Human Development,2.8,16
396,Pennsylvania State University,Blanca Antonio,Computer Science,3.0,3
397,Pennsylvania State University,Blanchard Simon,Marketing,4.5,4
398,Pennsylvania State University,Blanco Marilyn,Business,4.0,176
399,Pennsylvania State University,Blanda Stephanie,Mathematics,3.4,10
400,Pennsylvania State University,Blandford David,Economics,3.4,4
401,Pennsylvania State University,Blandon Alysia,Psychology,2.4,7
402,Pennsylvania State University,Blank Duane,Military Science,5.0,1
403,Pennsylvania State University,Blankfield Bryan,Communication,4.0,7
404,Pennsylvania State University,Blasko Kelly,Human Development,2.5,3
405,Pennsylvania State University,Bliege Bird Rebecca,Anthropology,1.0,1
406,Pennsylvania State University,Block Alan,Criminal Justice,3.7,8
407,Pennsylvania State University,Blodgett Bridgett,Information Science,3.5,1
408,Pennsylvania State University,Blood Gordon,Communication Disorders,4.0,4
409,Pennsylvania State University,Blood Ingrid,Communication Disorders,4.1,12
410,Pennsylvania State University,Bloom Caren,Women's Studies,5.0,7
411,Pennsylvania State University,Bloom Mia,Women's Studies,3.5,2
412,Pennsylvania State University,Bloom-Steidle Caren,Sociology,4.8,55
413,Pennsylvania State University,Blue Margaret,Spanish,4.7,9
414,Pennsylvania State University,Blue William,Spanish,3.3,9
415,Pennsylvania State University,Bluemel Brody,Languages,5.0,2
416,Pennsylvania State University,Blum Hester,English,4.3,20
417,Pennsylvania State University,Blumsack Seth,Geological Engineering,4.0,12
418,Pennsylvania State University,Boal Amie,Chemistry,2.9,30
419,Pennsylvania State University,Boben Ronald,English,2.1,14
420,Pennsylvania State University,Boccumini Kristen,Kinesiology,5.0,6
421,Pennsylvania State University,Bock Randall,Design,4.2,6
422,Pennsylvania State University,Bode-Lang Katie,English,4.8,17
423,Pennsylvania State University,Bode-Lang Andrew,English,4.8,27
424,Pennsylvania State University,Boden Josh,Meteorology,3.5,8
425,Pennsylvania State University,Bodovski Katerina,Education,2.9,8
426,Pennsylvania State University,Boehr David,Chemistry,4.0,25
427,Pennsylvania State University,Boffemmyer Mindy,Women's Studies,4.2,25
428,Pennsylvania State University,Boghossian Mirna,Accounting,5.0,1
429,Pennsylvania State University,Bohn Rose,English,2.7,38
